brand,model_full,year,km,fuel,gearbox,price
BMW,BMW SERIE 3 F30,2019.0,54848.0, Essence, automatique,31030.0
CITROEN,CITROEN BERLINGO 3 MULTISPACE,2020.0,145795.0, Diesel, mécanique,16780.0
PORSCHE,PORSCHE MACAN,2019.0,33063.0, Essence, automatique,86560.0
PEUGEOT,PEUGEOT EXPERT 3 FOURGON,2020.0,86699.0, Diesel, mécanique,30480.0
PORSCHE,PORSCHE TAYCAN,2021.0,12875.0, Electrique, automatique,212480.0
FIAT,FIAT 500 (2E GENERATION),2017.0,41776.0, Essence, automatique,16100.0
PEUGEOT,PEUGEOT 3008 (2E GENERATION),2019.0,42838.0, Diesel, automatique,29230.0
CITROEN,CITROEN C3 (3E GENERATION),2018.0,38041.0, Essence, mécanique,15970.0
MERCEDES,MERCEDES CLASSE A 3,2015.0,105495.0, Diesel, mécanique,15830.0
RENAULT,RENAULT TALISMAN ESTATE,2019.0,115601.0, Diesel, automatique,19710.0
BMW,BMW SERIE 5 G30,2019.0,62382.0, Diesel, automatique,39720.0
LAND,LAND ROVER RANGE ROVER SPORT 2,2019.0,82956.0, Diesel, automatique,76750.0
SEAT,SEAT IBIZA 5,2022.0,10040.0, Essence, mécanique,18060.0
BMW,BMW SERIE 4 F36 GRAN COUPE,2017.0,78828.0, Diesel, mécanique,21700.0
CITROEN,CITROEN C3 (3E GENERATION),2020.0,23022.0, Essence, mécanique,14850.0
JEEP,JEEP COMPASS 2,2022.0,12.0, Essence, automatique,42100.0
CITROEN,CITROEN C4 CACTUS,2020.0,2678.0, Essence, automatique,23970.0
PORSCHE,PORSCHE 911 TYPE 992,2020.0,10640.0, Essence, automatique,179080.0
MERCEDES,MERCEDES CLASSE C 5,2022.0,6720.0, Diesel, automatique,62160.0
MERCEDES,MERCEDES GLA,2020.0,22422.0, Essence, automatique,34300.0
PEUGEOT,PEUGEOT 208 (2E GENERATION),2021.0,16704.0, Essence, mécanique,23760.0
RENAULT,RENAULT CLIO 5,2022.0,11.0, Essence, automatique,21570.0
VOLKSWAGEN,VOLKSWAGEN T-ROC,2022.0,14848.0, Essence, automatique,33610.0
PEUGEOT,PEUGEOT 308 CC,2013.0,89388.0, Essence, automatique,17510.0
AUDI,AUDI A4 (5E GENERATION) AVANT,2021.0,16783.0, Diesel, automatique,47950.0
AUDI,AUDI Q5 (2E GENERATION),2021.0,8475.0, Diesel, automatique,50830.0
AUDI,AUDI A1 SPORTBACK,2019.0,71867.0, Diesel, automatique,21640.0
AUDI,AUDI A4 (5E GENERATION) AVANT,2017.0,85913.0, Diesel, mécanique,23740.0
BMW,BMW X5 F15,2018.0,48391.0, Diesel, automatique,65960.0
CITROEN,CITROEN C5 AIRCROSS,2022.0,5536.0, Essence, mécanique,32650.0
FIAT,FIAT TIPO 2,2018.0,78390.0, Essence, mécanique,14010.0
PEUGEOT,PEUGEOT 308 (2E GENERATION) SW,2017.0,100793.0, Diesel, automatique,20210.0
CITROEN,CITROEN C3 AIRCROSS,2019.0,47270.0, Diesel, mécanique,19450.0
PORSCHE,PORSCHE MACAN,2020.0,18964.0, Essence, automatique,91290.0
BMW,BMW X4 F26,2017.0,157731.0, Diesel, automatique,29370.0
BMW,BMW SERIE 2 F22 COUPE,2019.0,62751.0, Diesel, automatique,30140.0
SKODA,SKODA OCTAVIA 3 COMBI RS,2018.0,70448.0, Essence, mécanique,34390.0
VOLKSWAGEN,VOLKSWAGEN CRAFTER,2006.0,232780.0, Diesel, mécanique,11180.0
RENAULT,RENAULT KANGOO 2 EXPRESS,2019.0,5435.0, Diesel, mécanique,17620.0
BMW,BMW SERIE 4 F82 M4,2016.0,68280.0, Essence, automatique,59860.0
RENAULT,RENAULT CLIO 5,2022.0,12.0, Essence, mécanique,20220.0
MERCEDES,MERCEDES CLASSE R,2008.0,167860.0, Diesel, automatique,13610.0
PEUGEOT,PEUGEOT 508 (2E GENERATION) SW,2021.0,19009.0, Essence, automatique,46100.0
BMW,BMW X2 F39,2019.0,64767.0, Diesel, automatique,33280.0
NISSAN,NISSAN LEAF 2,2022.0,11.0, Electrique, automatique,25060.0
CITROEN,CITROEN C3 (3E GENERATION),2018.0,33858.0, Diesel, mécanique,11530.0
RENAULT,RENAULT ARKANA,2022.0,12.0, Essence, automatique,34380.0
OPEL,OPEL ASTRA 5 SPORTS TOURER,2021.0,43526.0, Diesel, automatique,24180.0
RENAULT,RENAULT CAPTUR 2,2021.0,10960.0, Diesel, mécanique,26110.0
PEUGEOT,PEUGEOT 308 (2E GENERATION) SW,2022.0,12.0, Diesel, mécanique,28180.0
BMW,BMW SERIE 1 F20 5 PORTES,2016.0,117007.0, Essence, mécanique,20530.0
MERCEDES,MERCEDES CLASSE E 4 CABRIOLET,2019.0,17542.0, Essence, automatique,61820.0
OPEL,OPEL CORSA 5,2017.0,46643.0, Essence, mécanique,12370.0
AUDI,AUDI SQ5,2017.0,127090.0, Diesel, automatique,42920.0
DS,DS DS 7 CROSSBACK,2021.0,6148.0, Hybride essence électrique, automatique,67260.0
PEUGEOT,PEUGEOT 2008 (2E GENERATION),2021.0,30027.0, Diesel, automatique,29830.0
PEUGEOT,PEUGEOT 208 (2E GENERATION),2021.0,17566.0, Essence, mécanique,24700.0
BMW,BMW X1 F48,2021.0,23820.0, Hybride essence électrique, automatique,46650.0
FIAT,FIAT TIPO 2,2022.0,11.0, Diesel, mécanique,27530.0
FORD,FORD FIESTA 6,2020.0,5208.0, Essence, mécanique,13610.0
MERCEDES,MERCEDES GLA 2,2021.0,30778.0, Diesel, automatique,52640.0
FORD,FORD FIESTA 6,2020.0,26522.0, Essence, mécanique,15910.0
PEUGEOT,PEUGEOT 2008 (2E GENERATION),2022.0,1.0, Essence, automatique,32120.0
VOLKSWAGEN,VOLKSWAGEN POLO 5 ENTREPRISE,2019.0,94883.0, Diesel, mécanique,13840.0
NISSAN,NISSAN QASHQAI 2,2017.0,102369.0, Diesel, automatique,19820.0
FORD,FORD MONDEO 4 SW,2019.0,128359.0, Diesel, mécanique,18580.0
DS,DS DS 5,2018.0,75825.0, Hybride diesel électrique, automatique,22530.0
PEUGEOT,PEUGEOT 308 (2E GENERATION),2020.0,89494.0, Essence, mécanique,18130.0
PEUGEOT,PEUGEOT 208 AFFAIRE,2019.0,45881.0, Diesel, mécanique,12160.0
JEEP,JEEP RENEGADE,2020.0,21160.0, Essence, mécanique,22640.0
PORSCHE,PORSCHE 911 TYPE 997,2009.0,94830.0, Essence, mécanique,64200.0
VOLKSWAGEN,VOLKSWAGEN T-ROC,2022.0,7831.0, Diesel, automatique,36130.0
BMW,BMW X1 F48,2022.0,11121.0, Diesel, automatique,53840.0
PEUGEOT,PEUGEOT 308 (2E GENERATION) SW,2019.0,22519.0, Essence, automatique,22360.0
VOLKSWAGEN,VOLKSWAGEN T-CROSS,2022.0,12.0, Essence, automatique,35360.0
MERCEDES,MERCEDES CLASSE C 4 CABRIOLET,2020.0,47190.0, Diesel, automatique,56730.0
DACIA,DACIA DUSTER 2,2021.0,22885.0, Essence, mécanique,17410.0
PORSCHE,PORSCHE MACAN,2018.0,32257.0, Essence, automatique,95430.0
BMW,BMW X2 F39,2020.0,13485.0, Diesel, automatique,36220.0
AUDI,AUDI A3 (2E GENERATION) CABRIOLET,2013.0,66886.0, Diesel, automatique,22210.0
